Causes name,Death Numbers
Number of executions (Amnesty International),
Terrorism (deaths),4801
Exposure to forces of nature,10010
Conflict and terrorism,68433
Environmental heat and cold exposure,72031
Poisonings,93154
Drug use disorders,106144
Acute hepatitis,135930
"Fire, heat, and hot substances",136077
Alcohol use disorders,203945
Parkinson's disease,253593
Maternal disorders,285202
Meningitis,380404
Drowning,386750
Protein-energy malnutrition,499718
Nutritional deficiencies,558653
Interpersonal violence,628341
Self-harm,886313
Malaria,898467
Alzheimer's disease and other dementias,1027287
Chronic kidney disease,1043032
Diabetes mellitus,1177127
Cirrhosis and other chronic liver diseases,1374202
Road injuries,1391001
Tuberculosis,1668101
HIV/AIDS,1758605
Diarrheal diseases,2353697
Digestive diseases,2420168
Neonatal disorders,2832323
Lower respiratory infections,3017211
Chronic respiratory diseases,3800644
Neoplasms,8416923
Cardiovascular diseases,16239423
