Causes name,Year,Death Numbers
Number of executions (Amnesty International),1998,
Terrorism (deaths),1998,4629
Environmental heat and cold exposure,1998,67009
Exposure to forces of nature,1998,70327
Poisonings,1998,90098
Drug use disorders,1998,98458
Conflict and terrorism,1998,110806
"Fire, heat, and hot substances",1998,136237
Acute hepatitis,1998,150715
Alcohol use disorders,1998,182859
Parkinson's disease,1998,217575
Maternal disorders,1998,298741
Meningitis,1998,404580
Drowning,1998,433792
Interpersonal violence,1998,579751
Protein-energy malnutrition,1998,590132
Nutritional deficiencies,1998,664754
Malaria,1998,880149
Chronic kidney disease,1998,890922
Self-harm,1998,901250
Alzheimer's disease and other dementias,1998,901349
Diabetes mellitus,1998,1037585
Cirrhosis and other chronic liver diseases,1998,1277498
HIV/AIDS,1998,1314012
Road injuries,1998,1330848
Tuberculosis,1998,1749678
Digestive diseases,1998,2288036
Diarrheal diseases,1998,2598106
Neonatal disorders,1998,2951951
Lower respiratory infections,1998,3240481
Chronic respiratory diseases,1998,3681089
Neoplasms,1998,7790558
Cardiovascular diseases,1998,15172683
