Causes name,Death Numbers
Number of executions (Amnesty International),671
Terrorism (deaths),9155
Environmental heat and cold exposure,59596
Conflict and terrorism,65747
Poisonings,92009
Acute hepatitis,118054
Drug use disorders,119288
"Fire, heat, and hot substances",128070
Alcohol use disorders,203420
Exposure to forces of nature,237897
Maternal disorders,256374
Parkinson's disease,307014
Protein-energy malnutrition,321476
Drowning,327865
Meningitis,349887
Nutritional deficiencies,369019
Interpersonal violence,579765
Self-harm,880168
Malaria,891816
Chronic kidney disease,1265990
Alzheimer's disease and other dementias,1287243
Diabetes mellitus,1348054
Road injuries,1442244
Tuberculosis,1462112
Cirrhosis and other chronic liver diseases,1495070
HIV/AIDS,1585830
Diarrheal diseases,2080283
Digestive diseases,2588138
Neonatal disorders,2631408
Lower respiratory infections,2841085
Chronic respiratory diseases,3853056
Neoplasms,9301054
Cardiovascular diseases,17129792
