Causes name,Year,Death Numbers
Number of executions (Amnesty International),2006,
Terrorism (deaths),2006,9360
Exposure to forces of nature,2006,20723
Environmental heat and cold exposure,2006,66748
Conflict and terrorism,2006,76248
Poisonings,2006,93186
Drug use disorders,2006,115367
Acute hepatitis,2006,125566
"Fire, heat, and hot substances",2006,131380
Alcohol use disorders,2006,208733
Maternal disorders,2006,267586
Parkinson's disease,2006,286543
Drowning,2006,343272
Protein-energy malnutrition,2006,348721
Meningitis,2006,365663
Nutritional deficiencies,2006,397718
Interpersonal violence,2006,579621
Self-harm,2006,893339
Malaria,2006,902826
Chronic kidney disease,2006,1182436
Alzheimer's disease and other dementias,2006,1190589
Diabetes mellitus,2006,1290535
Road injuries,2006,1424270
Cirrhosis and other chronic liver diseases,2006,1457031
Tuberculosis,2006,1514429
HIV/AIDS,2006,1788349
Diarrheal diseases,2006,2146073
Digestive diseases,2006,2530079
Neonatal disorders,2006,2710392
Lower respiratory infections,2006,2877048
Chronic respiratory diseases,2006,3789838
Neoplasms,2006,8947450
Cardiovascular diseases,2006,16704913
