Causes name,Death Numbers
Number of executions (Amnesty International),
Terrorism (deaths),3378
Environmental heat and cold exposure,65528
Poisonings,90654
Exposure to forces of nature,102027
Drug use disorders,102433
"Fire, heat, and hot substances",137073
Conflict and terrorism,141642
Acute hepatitis,148172
Alcohol use disorders,187681
Parkinson's disease,225596
Maternal disorders,297995
Meningitis,399965
Drowning,422962
Protein-energy malnutrition,567413
Interpersonal violence,588201
Nutritional deficiencies,636916
Malaria,870322
Self-harm,912697
Alzheimer's disease and other dementias,927001
Chronic kidney disease,927222
Diabetes mellitus,1069156
Cirrhosis and other chronic liver diseases,1296265
Road injuries,1347507
HIV/AIDS,1450487
Tuberculosis,1742415
Digestive diseases,2315045
Diarrheal diseases,2545313
Neonatal disorders,2919900
Lower respiratory infections,3185665
Chronic respiratory diseases,3710191
Neoplasms,7966142
Cardiovascular diseases,15447549
