Causes name,Death Numbers
Number of executions (Amnesty International),
Terrorism (deaths),10910
Exposure to forces of nature,19500
Environmental heat and cold exposure,65967
Poisonings,90944
Drug use disorders,94674
Conflict and terrorism,101294
"Fire, heat, and hot substances",138034
Acute hepatitis,153063
Alcohol use disorders,181304
Parkinson's disease,210336
Maternal disorders,299125
Meningitis,413148
Drowning,440501
Interpersonal violence,571913
Protein-energy malnutrition,613249
Nutritional deficiencies,692343
Chronic kidney disease,853529
Malaria,870450
Alzheimer's disease and other dementias,877405
Self-harm,893147
Diabetes mellitus,1005468
HIV/AIDS,1191688
Cirrhosis and other chronic liver diseases,1262095
Road injuries,1323783
Tuberculosis,1753339
Digestive diseases,2267647
Diarrheal diseases,2637693
Neonatal disorders,2980381
Lower respiratory infections,3290126
Chronic respiratory diseases,3650609
Neoplasms,7653018
Cardiovascular diseases,15036823
