Causes name,Death Numbers
Number of executions (Amnesty International),680
Exposure to forces of nature,9871
Terrorism (deaths),15452
Environmental heat and cold exposure,53525
Poisonings,87923
Acute hepatitis,105298
Conflict and terrorism,113052
"Fire, heat, and hot substances",121637
Drug use disorders,130989
Alcohol use disorders,192768
Maternal disorders,235106
Protein-energy malnutrition,284232
Drowning,296844
Meningitis,305119
Nutritional deficiencies,329271
Parkinson's disease,345831
Interpersonal violence,591490
Malaria,773479
Self-harm,854604
HIV/AIDS,1223676
Tuberculosis,1331495
Road injuries,1411823
Chronic kidney disease,1432792
Diabetes mellitus,1475558
Alzheimer's disease and other dementias,1498150
Cirrhosis and other chronic liver diseases,1533463
Diarrheal diseases,1868412
Neonatal disorders,2438290
Digestive diseases,2664033
Lower respiratory infections,2787714
Chronic respiratory diseases,3931431
Neoplasms,9977816
Cardiovascular diseases,18042379
