Causes name,Death Numbers
Number of executions (Amnesty International),
Terrorism (deaths),7709
Exposure to forces of nature,31601
Environmental heat and cold exposure,68629
Conflict and terrorism,73745
Poisonings,92488
Drug use disorders,106169
"Fire, heat, and hot substances",137594
Acute hepatitis,141183
Alcohol use disorders,198897
Parkinson's disease,243158
Maternal disorders,291185
Meningitis,388622
Drowning,400760
Protein-energy malnutrition,521505
Nutritional deficiencies,584312
Interpersonal violence,608848
Malaria,884906
Self-harm,894413
Alzheimer's disease and other dementias,989653
Chronic kidney disease,1002245
Diabetes mellitus,1134022
Cirrhosis and other chronic liver diseases,1342798
Road injuries,1375960
HIV/AIDS,1673123
Tuberculosis,1701915
Digestive diseases,2376973
Diarrheal diseases,2420470
Neonatal disorders,2855484
Lower respiratory infections,3058165
Chronic respiratory diseases,3768253
Neoplasms,8254393
Cardiovascular diseases,15909739
