Causes name,Death Numbers
Number of executions (Amnesty International),
Terrorism (deaths),6059
Exposure to forces of nature,20063
Conflict and terrorism,69298
Environmental heat and cold exposure,75444
Drug use disorders,90259
Poisonings,94183
"Fire, heat, and hot substances",140865
Acute hepatitis,158353
Alcohol use disorders,181711
Parkinson's disease,197698
Maternal disorders,301096
Meningitis,423975
Drowning,465382
Interpersonal violence,589888
Protein-energy malnutrition,682910
Nutritional deficiencies,769012
Chronic kidney disease,793771
Alzheimer's disease and other dementias,827884
Malaria,844164
Self-harm,895392
Diabetes mellitus,941977
HIV/AIDS,990145
Cirrhosis and other chronic liver diseases,1234504
Road injuries,1317609
Tuberculosis,1770164
Digestive diseases,2232658
Diarrheal diseases,2746145
Neonatal disorders,3046905
Lower respiratory infections,3396185
Chronic respiratory diseases,3566064
Neoplasms,7445493
Cardiovascular diseases,14825867
