Causes name,Death Numbers
Number of executions (Amnesty International),
Terrorism (deaths),6290
Conflict and terrorism,62120
Environmental heat and cold exposure,70350
Exposure to forces of nature,93859
Poisonings,95361
Drug use disorders,113177
Acute hepatitis,129059
"Fire, heat, and hot substances",134374
Alcohol use disorders,212183
Maternal disorders,273305
Parkinson's disease,279106
Drowning,356402
Protein-energy malnutrition,363814
Meningitis,368960
Nutritional deficiencies,413596
Interpersonal violence,586014
Malaria,903500
Self-harm,903834
Alzheimer's disease and other dementias,1147457
Chronic kidney disease,1149270
Diabetes mellitus,1269409
Road injuries,1425098
Cirrhosis and other chronic liver diseases,1448410
Tuberculosis,1548304
HIV/AIDS,1849299
Diarrheal diseases,2164448
Digestive diseases,2516446
Neonatal disorders,2747983
Lower respiratory infections,2908370
Chronic respiratory diseases,3803759
Neoplasms,8859982
Cardiovascular diseases,16713653
