Causes name,Death Numbers
Number of executions (Amnesty International),
Terrorism (deaths),6950
Exposure to forces of nature,15764
Environmental heat and cold exposure,69827
Conflict and terrorism,90027
Poisonings,92562
Drug use disorders,92721
"Fire, heat, and hot substances",139230
Acute hepatitis,154581
Alcohol use disorders,181651
Parkinson's disease,203706
Maternal disorders,297604
Meningitis,430591
Drowning,450860
Interpersonal violence,577344
Protein-energy malnutrition,635221
Nutritional deficiencies,717312
Chronic kidney disease,820403
Malaria,851646
Alzheimer's disease and other dementias,854136
Self-harm,889889
Diabetes mellitus,972581
HIV/AIDS,1098692
Cirrhosis and other chronic liver diseases,1246582
Road injuries,1317576
Tuberculosis,1750352
Digestive diseases,2246138
Diarrheal diseases,2680697
Neonatal disorders,3008884
Lower respiratory infections,3336545
Chronic respiratory diseases,3603833
Neoplasms,7546253
Cardiovascular diseases,14914900
