Causes name,Death Numbers
Number of executions (Amnesty International),712
Terrorism (deaths),9273
Exposure to forces of nature,12139
Environmental heat and cold exposure,56939
Conflict and terrorism,72746
Poisonings,91249
Acute hepatitis,113420
Drug use disorders,120637
"Fire, heat, and hot substances",125900
Alcohol use disorders,198906
Maternal disorders,253165
Protein-energy malnutrition,309658
Parkinson's disease,315844
Drowning,319649
Meningitis,343514
Nutritional deficiencies,355803
Interpersonal violence,586389
Self-harm,870303
Malaria,878132
Chronic kidney disease,1304558
Alzheimer's disease and other dementias,1338033
Diabetes mellitus,1372750
Tuberculosis,1420268
Road injuries,1440155
HIV/AIDS,1479203
Cirrhosis and other chronic liver diseases,1499653
Diarrheal diseases,2012108
Neonatal disorders,2586304
Digestive diseases,2596181
Lower respiratory infections,2816597
Chronic respiratory diseases,3848407
Neoplasms,9469159
Cardiovascular diseases,17294589
