Causes name,Death Numbers
Number of executions (Amnesty International),
Terrorism (deaths),9683
Exposure to forces of nature,12718
Environmental heat and cold exposure,62291
Conflict and terrorism,67120
Drug use disorders,74960
Poisonings,92690
"Fire, heat, and hot substances",138124
Alcohol use disorders,155186
Acute hepatitis,164974
Parkinson's disease,180217
Maternal disorders,310847
Meningitis,442613
Drowning,476279
Interpersonal violence,545455
HIV/AIDS,584827
Protein-energy malnutrition,651377
Chronic kidney disease,725555
Alzheimer's disease and other dementias,739583
Nutritional deficiencies,750448
Self-harm,835830
Malaria,841962
Diabetes mellitus,848969
Cirrhosis and other chronic liver diseases,1164823
Road injuries,1277412
Tuberculosis,1845934
Digestive diseases,2139680
Diarrheal diseases,2969468
Neonatal disorders,3142787
Chronic respiratory diseases,3431763
Lower respiratory infections,3507946
Neoplasms,6970664
Cardiovascular diseases,14071837
