Causes name,Year,Death Numbers
Number of executions (Amnesty International),2012,680
Exposure to forces of nature,2012,9871
Terrorism (deaths),2012,15452
Environmental heat and cold exposure,2012,53525
Poisonings,2012,87923
Acute hepatitis,2012,105298
Conflict and terrorism,2012,113052
"Fire, heat, and hot substances",2012,121637
Drug use disorders,2012,130989
Alcohol use disorders,2012,192768
Maternal disorders,2012,235106
Protein-energy malnutrition,2012,284232
Drowning,2012,296844
Meningitis,2012,305119
Nutritional deficiencies,2012,329271
Parkinson's disease,2012,345831
Interpersonal violence,2012,591490
Malaria,2012,773479
Self-harm,2012,854604
HIV/AIDS,2012,1223676
Tuberculosis,2012,1331495
Road injuries,2012,1411823
Chronic kidney disease,2012,1432792
Diabetes mellitus,2012,1475558
Alzheimer's disease and other dementias,2012,1498150
Cirrhosis and other chronic liver diseases,2012,1533463
Diarrheal diseases,2012,1868412
Neonatal disorders,2012,2438290
Digestive diseases,2012,2664033
Lower respiratory infections,2012,2787714
Chronic respiratory diseases,2012,3931431
Neoplasms,2012,9977816
Cardiovascular diseases,2012,18042379
