Causes name,Year,Death Numbers
Number of executions (Amnesty International),2010,521
Terrorism (deaths),2010,7816
Conflict and terrorism,2010,55596
Environmental heat and cold exposure,2010,60906
Poisonings,2010,90943
Acute hepatitis,2010,110307
Drug use disorders,2010,123172
"Fire, heat, and hot substances",2010,124806
Alcohol use disorders,2010,196811
Maternal disorders,2010,247809
Protein-energy malnutrition,2010,308966
Drowning,2010,313031
Parkinson's disease,2010,325792
Meningitis,2010,332745
Nutritional deficiencies,2010,354560
Exposure to forces of nature,2010,466598
Interpersonal violence,2010,580615
Self-harm,2010,869480
Malaria,2010,872521
Chronic kidney disease,2010,1346229
Tuberculosis,2010,1379326
HIV/AIDS,2010,1388242
Alzheimer's disease and other dementias,2010,1392241
Diabetes mellitus,2010,1398015
Road injuries,2010,1435955
Cirrhosis and other chronic liver diseases,2010,1511968
Diarrheal diseases,2010,1964361
Neonatal disorders,2010,2535875
Digestive diseases,2010,2619430
Lower respiratory infections,2010,2796246
Chronic respiratory diseases,2010,3867351
Neoplasms,2010,9647253
Cardiovascular diseases,2010,17592295
