Causes name,Year,Death Numbers
Number of executions (Amnesty International),2015,1626
Exposure to forces of nature,2015,16649
Terrorism (deaths),2015,38835
Environmental heat and cold exposure,2015,53654
Poisonings,2015,84325
Acute hepatitis,2015,89415
"Fire, heat, and hot substances",2015,119628
Drug use disorders,2015,159076
Conflict and terrorism,2015,167424
Alcohol use disorders,2015,196021
Maternal disorders,2015,216784
Protein-energy malnutrition,2015,266186
Meningitis,2015,272867
Drowning,2015,274539
Nutritional deficiencies,2015,309664
Parkinson's disease,2015,379605
Interpersonal violence,2015,591035
Malaria,2015,676164
Self-harm,2015,834946
HIV/AIDS,2015,1062271
Tuberculosis,2015,1280085
Road injuries,2015,1357144
Chronic kidney disease,2015,1572477
Cirrhosis and other chronic liver diseases,2015,1578490
Diabetes mellitus,2015,1625842
Alzheimer's disease and other dementias,2015,1666944
Diarrheal diseases,2015,1711625
Neonatal disorders,2015,2267410
Digestive diseases,2015,2764439
Lower respiratory infections,2015,2816142
Chronic respiratory diseases,2015,4092746
Neoplasms,2015,10583571
Cardiovascular diseases,2015,18995440
