Causes name,Year,Death Numbers
Number of executions (Amnesty International),2000,
Terrorism (deaths),2000,4393
Exposure to forces of nature,2000,9927
Environmental heat and cold exposure,2000,67537
Poisonings,2000,92038
Drug use disorders,2000,106523
Conflict and terrorism,2000,122093
"Fire, heat, and hot substances",2000,137610
Acute hepatitis,2000,145225
Alcohol use disorders,2000,193673
Parkinson's disease,2000,233984
Maternal disorders,2000,295695
Meningitis,2000,395377
Drowning,2000,412879
Protein-energy malnutrition,2000,544863
Interpersonal violence,2000,604183
Nutritional deficiencies,2000,610812
Malaria,2000,857994
Self-harm,2000,911656
Alzheimer's disease and other dementias,2000,956103
Chronic kidney disease,2000,965680
Diabetes mellitus,2000,1099900
Cirrhosis and other chronic liver diseases,2000,1317344
Road injuries,2000,1363782
HIV/AIDS,2000,1569212
Tuberculosis,2000,1735583
Digestive diseases,2000,2343800
Diarrheal diseases,2000,2484896
Neonatal disorders,2000,2888986
Lower respiratory infections,2000,3125664
Chronic respiratory diseases,2000,3745870
Neoplasms,2000,8125806
Cardiovascular diseases,2000,15678548
