Causes name,Year,Death Numbers
Number of executions (Amnesty International),1994,
Terrorism (deaths),1994,7682
Exposure to forces of nature,1994,14664
Environmental heat and cold exposure,1994,74616
Drug use disorders,1994,86317
Poisonings,1994,94878
"Fire, heat, and hot substances",1994,142244
Acute hepatitis,1994,160647
Alcohol use disorders,1994,178581
Parkinson's disease,1994,192000
Maternal disorders,1994,304388
Meningitis,1994,428606
Drowning,1994,471899
Conflict and terrorism,1994,568946
Interpersonal violence,1994,586646
Protein-energy malnutrition,1994,606902
Nutritional deficiencies,1994,696883
Chronic kidney disease,1994,769875
Alzheimer's disease and other dementias,1994,799183
Malaria,1994,837623
HIV/AIDS,1994,852753
Self-harm,1994,886322
Diabetes mellitus,1994,912864
Cirrhosis and other chronic liver diseases,1994,1217353
Road injuries,1994,1307943
Tuberculosis,1994,1787184
Digestive diseases,1994,2212788
Diarrheal diseases,1994,2821771
Neonatal disorders,1994,3075784
Lower respiratory infections,1994,3435773
Chronic respiratory diseases,1994,3540654
Neoplasms,1994,7317780
Cardiovascular diseases,1994,14706408
