Causes name,Year,Death Numbers
Number of executions (Amnesty International),2014,603
Exposure to forces of nature,2014,8216
Terrorism (deaths),2014,44486
Environmental heat and cold exposure,2014,51206
Poisonings,2014,85289
Acute hepatitis,2014,93521
"Fire, heat, and hot substances",2014,119627
Drug use disorders,2014,147118
Conflict and terrorism,2014,188439
Alcohol use disorders,2014,193979
Maternal disorders,2014,223277
Protein-energy malnutrition,2014,271391
Drowning,2014,278972
Meningitis,2014,285499
Nutritional deficiencies,2014,315437
Parkinson's disease,2014,368929
Interpersonal violence,2014,584899
Malaria,2014,697896
Self-harm,2014,835143
HIV/AIDS,2014,1101834
Tuberculosis,2014,1307490
Road injuries,2014,1369883
Chronic kidney disease,2014,1523482
Cirrhosis and other chronic liver diseases,2014,1552180
Diabetes mellitus,2014,1573192
Alzheimer's disease and other dementias,2014,1608141
Diarrheal diseases,2014,1758555
Neonatal disorders,2014,2326614
Digestive diseases,2014,2715308
Lower respiratory infections,2014,2808022
Chronic respiratory diseases,2014,4042756
Neoplasms,2014,10340383
Cardiovascular diseases,2014,18577544
