Causes name,Year,Death Numbers
Number of executions (Amnesty International),2013,767
Terrorism (deaths),2013,22269
Exposure to forces of nature,2013,27993
Environmental heat and cold exposure,2013,51432
Poisonings,2013,86944
Acute hepatitis,2013,99591
Conflict and terrorism,2013,117942
"Fire, heat, and hot substances",2013,121739
Drug use disorders,2013,137968
Alcohol use disorders,2013,192865
Maternal disorders,2013,231846
Protein-energy malnutrition,2013,278108
Drowning,2013,287560
Meningitis,2013,294172
Nutritional deficiencies,2013,322576
Parkinson's disease,2013,357958
Interpersonal violence,2013,588267
Malaria,2013,723586
Self-harm,2013,844465
HIV/AIDS,2013,1152427
Tuberculosis,2013,1320407
Road injuries,2013,1388407
Chronic kidney disease,2013,1481649
Diabetes mellitus,2013,1523278
Cirrhosis and other chronic liver diseases,2013,1543801
Alzheimer's disease and other dementias,2013,1552537
Diarrheal diseases,2013,1821699
Neonatal disorders,2013,2393654
Digestive diseases,2013,2692830
Lower respiratory infections,2013,2807010
Chronic respiratory diseases,2013,3993972
Neoplasms,2013,10151113
Cardiovascular diseases,2013,18320467
