Causes name,Death Numbers
Number of executions (Amnesty International),603
Exposure to forces of nature,8216
Terrorism (deaths),44486
Environmental heat and cold exposure,51206
Poisonings,85289
Acute hepatitis,93521
"Fire, heat, and hot substances",119627
Drug use disorders,147118
Conflict and terrorism,188439
Alcohol use disorders,193979
Maternal disorders,223277
Protein-energy malnutrition,271391
Drowning,278972
Meningitis,285499
Nutritional deficiencies,315437
Parkinson's disease,368929
Interpersonal violence,584899
Malaria,697896
Self-harm,835143
HIV/AIDS,1101834
Tuberculosis,1307490
Road injuries,1369883
Chronic kidney disease,1523482
Cirrhosis and other chronic liver diseases,1552180
Diabetes mellitus,1573192
Alzheimer's disease and other dementias,1608141
Diarrheal diseases,1758555
Neonatal disorders,2326614
Digestive diseases,2715308
Lower respiratory infections,2808022
Chronic respiratory diseases,4042756
Neoplasms,10340383
Cardiovascular diseases,18577544
