Causes name,Year,Death Numbers
Number of executions (Amnesty International),2009,712
Terrorism (deaths),2009,9273
Exposure to forces of nature,2009,12139
Environmental heat and cold exposure,2009,56939
Conflict and terrorism,2009,72746
Poisonings,2009,91249
Acute hepatitis,2009,113420
Drug use disorders,2009,120637
"Fire, heat, and hot substances",2009,125900
Alcohol use disorders,2009,198906
Maternal disorders,2009,253165
Protein-energy malnutrition,2009,309658
Parkinson's disease,2009,315844
Drowning,2009,319649
Meningitis,2009,343514
Nutritional deficiencies,2009,355803
Interpersonal violence,2009,586389
Self-harm,2009,870303
Malaria,2009,878132
Chronic kidney disease,2009,1304558
Alzheimer's disease and other dementias,2009,1338033
Diabetes mellitus,2009,1372750
Tuberculosis,2009,1420268
Road injuries,2009,1440155
HIV/AIDS,2009,1479203
Cirrhosis and other chronic liver diseases,2009,1499653
Diarrheal diseases,2009,2012108
Neonatal disorders,2009,2586304
Digestive diseases,2009,2596181
Lower respiratory infections,2009,2816597
Chronic respiratory diseases,2009,3848407
Neoplasms,2009,9469159
Cardiovascular diseases,2009,17294589
