Causes name,Death Numbers
Number of executions (Amnesty International),
Terrorism (deaths),7089
Exposure to forces of nature,51004
Environmental heat and cold exposure,57613
Drug use disorders,63380
Poisonings,92531
Conflict and terrorism,122208
"Fire, heat, and hot substances",137190
Alcohol use disorders,138735
Acute hepatitis,167696
Parkinson's disease,170943
Maternal disorders,314685
HIV/AIDS,372033
Meningitis,450328
Drowning,491075
Interpersonal violence,504496
Alzheimer's disease and other dementias,680167
Chronic kidney disease,690114
Protein-energy malnutrition,703827
Diabetes mellitus,796941
Self-harm,802961
Nutritional deficiencies,809393
Malaria,826398
Cirrhosis and other chronic liver diseases,1131363
Road injuries,1267012
Tuberculosis,1818433
Digestive diseases,2085564
Diarrheal diseases,3008572
Neonatal disorders,3212596
Chronic respiratory diseases,3303539
Lower respiratory infections,3575084
Neoplasms,6695640
Cardiovascular diseases,13688659
