Causes name,Year,Death Numbers
Number of executions (Amnesty International),2008,671
Terrorism (deaths),2008,9155
Environmental heat and cold exposure,2008,59596
Conflict and terrorism,2008,65747
Poisonings,2008,92009
Acute hepatitis,2008,118054
Drug use disorders,2008,119288
"Fire, heat, and hot substances",2008,128070
Alcohol use disorders,2008,203420
Exposure to forces of nature,2008,237897
Maternal disorders,2008,256374
Parkinson's disease,2008,307014
Protein-energy malnutrition,2008,321476
Drowning,2008,327865
Meningitis,2008,349887
Nutritional deficiencies,2008,369019
Interpersonal violence,2008,579765
Self-harm,2008,880168
Malaria,2008,891816
Chronic kidney disease,2008,1265990
Alzheimer's disease and other dementias,2008,1287243
Diabetes mellitus,2008,1348054
Road injuries,2008,1442244
Tuberculosis,2008,1462112
Cirrhosis and other chronic liver diseases,2008,1495070
HIV/AIDS,2008,1585830
Diarrheal diseases,2008,2080283
Digestive diseases,2008,2588138
Neonatal disorders,2008,2631408
Lower respiratory infections,2008,2841085
Chronic respiratory diseases,2008,3853056
Neoplasms,2008,9301054
Cardiovascular diseases,2008,17129792
