Causes name,Death Numbers
Terrorism (deaths),
Number of executions (Amnesty International),
Exposure to forces of nature,23383
Conflict and terrorism,64092
Environmental heat and cold exposure,69387
Drug use disorders,80526
Poisonings,94181
"Fire, heat, and hot substances",140689
Acute hepatitis,163152
Alcohol use disorders,168110
Parkinson's disease,186889
Maternal disorders,304475
Meningitis,436455
Drowning,474408
Interpersonal violence,575979
Protein-energy malnutrition,628112
HIV/AIDS,713268
Nutritional deficiencies,722793
Chronic kidney disease,747567
Alzheimer's disease and other dementias,770412
Malaria,845517
Self-harm,859410
Diabetes mellitus,883276
Cirrhosis and other chronic liver diseases,1193503
Road injuries,1291025
Tuberculosis,1810927
Digestive diseases,2181582
Diarrheal diseases,2888550
Neonatal disorders,3110511
Lower respiratory infections,3477612
Chronic respiratory diseases,3502353
Neoplasms,7170420
Cardiovascular diseases,14473251
