Causes name,Year,Death Numbers
Number of executions (Amnesty International),2003,
Terrorism (deaths),2003,3315
Exposure to forces of nature,2003,36599
Conflict and terrorism,2003,71913
Environmental heat and cold exposure,2003,74141
Poisonings,2003,93894
Drug use disorders,2003,106117
Acute hepatitis,2003,131104
"Fire, heat, and hot substances",2003,136500
Alcohol use disorders,2003,208114
Parkinson's disease,2003,262404
Maternal disorders,2003,278247
Drowning,2003,372213
Meningitis,2003,376957
Protein-energy malnutrition,2003,402627
Nutritional deficiencies,2003,457333
Interpersonal violence,2003,601886
Self-harm,2003,890467
Malaria,2003,926142
Alzheimer's disease and other dementias,2003,1065364
Chronic kidney disease,2003,1080002
Diabetes mellitus,2003,1212576
Cirrhosis and other chronic liver diseases,2003,1401924
Road injuries,2003,1402993
Tuberculosis,2003,1629956
HIV/AIDS,2003,1822279
Diarrheal diseases,2003,2283579
Digestive diseases,2003,2456005
Neonatal disorders,2003,2808664
Lower respiratory infections,2003,2977058
Chronic respiratory diseases,2003,3808300
Neoplasms,2003,8569150
Cardiovascular diseases,2003,16450263
