Causes name,Death Numbers
Number of executions (Amnesty International),1248
Terrorism (deaths),12823
Exposure to forces of nature,18351
Environmental heat and cold exposure,61761
Conflict and terrorism,72831
Poisonings,91785
Drug use disorders,117016
Acute hepatitis,121309
"Fire, heat, and hot substances",129801
Alcohol use disorders,205393
Maternal disorders,260934
Parkinson's disease,295549
Protein-energy malnutrition,333605
Drowning,335013
Meningitis,359357
Nutritional deficiencies,381551
Interpersonal violence,570925
Self-harm,883226
Malaria,899666
Chronic kidney disease,1219768
Alzheimer's disease and other dementias,1237005
Diabetes mellitus,1313794
Road injuries,1430403
Cirrhosis and other chronic liver diseases,1471594
Tuberculosis,1484694
HIV/AIDS,1692650
Diarrheal diseases,2112262
Digestive diseases,2551221
Neonatal disorders,2669115
Lower respiratory infections,2850894
Chronic respiratory diseases,3801494
Neoplasms,9095890
Cardiovascular diseases,16830161
