Year,Death Numbers
1990,23
1991,22
1992,22
1993,22
1994,22
1995,22
1996,22
1997,22
1998,21
1999,20
2000,21
2001,21
2002,20
2003,20
2004,21
2005,18
2006,18
2007,18
2008,18
2009,18
2010,18
2011,18
2012,18
2013,18
2014,18
2015,18
2016,18
2017,18
2018,18
2019,18
