Causes name,Year,Death Numbers
Number of executions (Amnesty International),2016,613
Exposure to forces of nature,2016,10668
Terrorism (deaths),2016,34849
Environmental heat and cold exposure,2016,49538
Poisonings,2016,83363
Acute hepatitis,2016,85399
"Fire, heat, and hot substances",2016,119464
Conflict and terrorism,2016,161848
Drug use disorders,2016,173765
Alcohol use disorders,2016,197928
Maternal disorders,2016,211737
Protein-energy malnutrition,2016,261266
Meningitis,2016,266469
Drowning,2016,269121
Nutritional deficiencies,2016,304325
Parkinson's disease,2016,390262
Interpersonal violence,2016,584412
Malaria,2016,631686
Self-harm,2016,837577
HIV/AIDS,2016,1030946
Tuberculosis,2016,1262159
Road injuries,2016,1350465
Cirrhosis and other chronic liver diseases,2016,1603732
Chronic kidney disease,2016,1620338
Diarrheal diseases,2016,1673179
Diabetes mellitus,2016,1682523
Alzheimer's disease and other dementias,2016,1732294
Neonatal disorders,2016,2179230
Lower respiratory infections,2016,2808107
Digestive diseases,2016,2810201
Chronic respiratory diseases,2016,4152778
Neoplasms,2016,10824811
Cardiovascular diseases,2016,19354160
