Causes name,Death Numbers
Number of executions (Amnesty International),613
Exposure to forces of nature,10668
Terrorism (deaths),34849
Environmental heat and cold exposure,49538
Poisonings,83363
Acute hepatitis,85399
"Fire, heat, and hot substances",119464
Conflict and terrorism,161848
Drug use disorders,173765
Alcohol use disorders,197928
Maternal disorders,211737
Protein-energy malnutrition,261266
Meningitis,266469
Drowning,269121
Nutritional deficiencies,304325
Parkinson's disease,390262
Interpersonal violence,584412
Malaria,631686
Self-harm,837577
HIV/AIDS,1030946
Tuberculosis,1262159
Road injuries,1350465
Cirrhosis and other chronic liver diseases,1603732
Chronic kidney disease,1620338
Diarrheal diseases,1673179
Diabetes mellitus,1682523
Alzheimer's disease and other dementias,1732294
Neonatal disorders,2179230
Lower respiratory infections,2808107
Digestive diseases,2810201
Chronic respiratory diseases,4152778
Neoplasms,10824811
Cardiovascular diseases,19354160
