Causes name,Year,Death Numbers
Number of executions (Amnesty International),2002,
Terrorism (deaths),2002,4801
Exposure to forces of nature,2002,10010
Conflict and terrorism,2002,68433
Environmental heat and cold exposure,2002,72031
Poisonings,2002,93154
Drug use disorders,2002,106144
Acute hepatitis,2002,135930
"Fire, heat, and hot substances",2002,136077
Alcohol use disorders,2002,203945
Parkinson's disease,2002,253593
Maternal disorders,2002,285202
Meningitis,2002,380404
Drowning,2002,386750
Protein-energy malnutrition,2002,499718
Nutritional deficiencies,2002,558653
Interpersonal violence,2002,628341
Self-harm,2002,886313
Malaria,2002,898467
Alzheimer's disease and other dementias,2002,1027287
Chronic kidney disease,2002,1043032
Diabetes mellitus,2002,1177127
Cirrhosis and other chronic liver diseases,2002,1374202
Road injuries,2002,1391001
Tuberculosis,2002,1668101
HIV/AIDS,2002,1758605
Diarrheal diseases,2002,2353697
Digestive diseases,2002,2420168
Neonatal disorders,2002,2832323
Lower respiratory infections,2002,3017211
Chronic respiratory diseases,2002,3800644
Neoplasms,2002,8416923
Cardiovascular diseases,2002,16239423
