Causes name,Year,Death Numbers
Terrorism (deaths),1993,
Number of executions (Amnesty International),1993,
Exposure to forces of nature,1993,23383
Conflict and terrorism,1993,64092
Environmental heat and cold exposure,1993,69387
Drug use disorders,1993,80526
Poisonings,1993,94181
"Fire, heat, and hot substances",1993,140689
Acute hepatitis,1993,163152
Alcohol use disorders,1993,168110
Parkinson's disease,1993,186889
Maternal disorders,1993,304475
Meningitis,1993,436455
Drowning,1993,474408
Interpersonal violence,1993,575979
Protein-energy malnutrition,1993,628112
HIV/AIDS,1993,713268
Nutritional deficiencies,1993,722793
Chronic kidney disease,1993,747567
Alzheimer's disease and other dementias,1993,770412
Malaria,1993,845517
Self-harm,1993,859410
Diabetes mellitus,1993,883276
Cirrhosis and other chronic liver diseases,1993,1193503
Road injuries,1993,1291025
Tuberculosis,1993,1810927
Digestive diseases,1993,2181582
Diarrheal diseases,1993,2888550
Neonatal disorders,1993,3110511
Lower respiratory infections,1993,3477612
Chronic respiratory diseases,1993,3502353
Neoplasms,1993,7170420
Cardiovascular diseases,1993,14473251
