Causes name,Year,Death Numbers
Number of executions (Amnesty International),2017,
Exposure to forces of nature,2017,15507
Terrorism (deaths),2017,26442
Environmental heat and cold exposure,2017,48305
Poisonings,2017,81877
Acute hepatitis,2017,83157
"Fire, heat, and hot substances",2017,118542
Conflict and terrorism,2017,130799
Drug use disorders,2017,183947
Alcohol use disorders,2017,198682
Maternal disorders,2017,206956
Meningitis,2017,255331
Protein-energy malnutrition,2017,255725
Drowning,2017,261911
Nutritional deficiencies,2017,298579
Parkinson's disease,2017,400031
Interpersonal violence,2017,592988
Malaria,2017,600790
Self-harm,2017,838026
HIV/AIDS,2017,983182
Tuberculosis,2017,1244423
Road injuries,2017,1344626
Cirrhosis and other chronic liver diseases,2017,1628610
Chronic kidney disease,2017,1651601
Diarrheal diseases,2017,1665153
Diabetes mellitus,2017,1733020
Alzheimer's disease and other dementias,2017,1798477
Neonatal disorders,2017,2090958
Lower respiratory infections,2017,2783159
Digestive diseases,2017,2854617
Chronic respiratory diseases,2017,4214129
Neoplasms,2017,11046221
Cardiovascular diseases,2017,19673428
