Causes name,Year,Death Numbers
Number of executions (Amnesty International),1997,
Terrorism (deaths),1997,10910
Exposure to forces of nature,1997,19500
Environmental heat and cold exposure,1997,65967
Poisonings,1997,90944
Drug use disorders,1997,94674
Conflict and terrorism,1997,101294
"Fire, heat, and hot substances",1997,138034
Acute hepatitis,1997,153063
Alcohol use disorders,1997,181304
Parkinson's disease,1997,210336
Maternal disorders,1997,299125
Meningitis,1997,413148
Drowning,1997,440501
Interpersonal violence,1997,571913
Protein-energy malnutrition,1997,613249
Nutritional deficiencies,1997,692343
Chronic kidney disease,1997,853529
Malaria,1997,870450
Alzheimer's disease and other dementias,1997,877405
Self-harm,1997,893147
Diabetes mellitus,1997,1005468
HIV/AIDS,1997,1191688
Cirrhosis and other chronic liver diseases,1997,1262095
Road injuries,1997,1323783
Tuberculosis,1997,1753339
Digestive diseases,1997,2267647
Diarrheal diseases,1997,2637693
Neonatal disorders,1997,2980381
Lower respiratory infections,1997,3290126
Chronic respiratory diseases,1997,3650609
Neoplasms,1997,7653018
Cardiovascular diseases,1997,15036823
